CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,k,COUNCIL,COUNTY,PARISH,NGR,URL
2355,HY40NW 3,Crantit,Cist(S) (Period Unassigned),343850,1009680,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4385 0968,http://canmore.org.uk/site/2355
2356,HY40NW 4,'newbigging',"Barrow (Prehistoric), Cist(S) (Period Unassigned)",343450,1009830,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4345 0983,http://canmore.org.uk/site/2356
2357,HY40NW 5,Crantit,Souterrain (Prehistoric),344000,1009000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 44 09,http://canmore.org.uk/site/2357
2358,HY40NW 6,Hillhead,"Enclosure (Period Unassigned), Carved Stone Ball",344720,1008550,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4472 0855,http://canmore.org.uk/site/2358
2359,HY40NW 7,Orquil Farm,Souterrain (Prehistoric),342800,1009700,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 428 097,http://canmore.org.uk/site/2359
2361,HY40NW 9,Foveran,Cist (Period Unassigned),342060,1008010,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4206 0801,http://canmore.org.uk/site/2361
2431,HY41SE 1,Head Of Work,Chambered Cairn (Neolithic),348340,1013820,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4834 1382,http://canmore.org.uk/site/2431
2432,HY41SE 10,Berstane,Cinerary Urn (Steatite),346900,1010100,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 469 101,http://canmore.org.uk/site/2432
2433,HY41SE 11,Quoybanks,"Structure (Period Unassigned), Hair Pin (Bronze)",345100,1010100,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 451 101,http://canmore.org.uk/site/2433
2434,HY41SE 12,Head Of Holland,Chapel (Period Unassigned),347950,1011710,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4795 1171,http://canmore.org.uk/site/2434
2435,HY41SE 13,Holland,Barrow(S) (Prehistoric),347700,1011100,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 477 111,http://canmore.org.uk/site/2435
2436,HY41SE 14,Kirkwall,Stone Ball (Stone),345000,1010000,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 45 10,http://canmore.org.uk/site/2436
2437,HY41SE 15,Cleat,Cist (Period Unassigned),346980,1011750,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4698 1175,http://canmore.org.uk/site/2437
2442,HY41SE 2,Work,"Broch (Iron Age)(Possible), Structure (Period Unassigned), Quern(S), Unidentified Pottery (Iron Age)",347470,1013500,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4747 1350,http://canmore.org.uk/site/2442
2324,HY40NE 10,Hillock Of Garth,Cairn (Period Unassigned),347040,1006790,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4704 0679,http://canmore.org.uk/site/2324
2325,HY40NE 11,Garth,Enclosure (Period Unassigned),346290,1007250,ORKNEY ISLANDS,ORKNEY,KIRKWALL AND ST OLA,HY 4629 0725,http://canmore.org.uk/site/2325
